Title,Location,Shuttle shop,Neighbourhood
Amanda Lane Design,"Market Square - G-7A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Amanda Ryan Tucker,"Suites At Market Square - G-4028, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
AMAX Leather,"Furniture Plaza - 215, Floor 2",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
"Ambella Home Collection, Inc.","310 N. Hamilton St. - S-110, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
America Arts,"Suites At Market Square - M-4003, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
America Leather Resources,100 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
"American Cover Design 26, Inc.","IHFC - G263, Green, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
American Decorative Fabrics,"312 S. Hamilton St. - 2nd Fl, Ste. 201-D",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
"American Drew, A Division of La-Z-Boy, Inc.","IHFC - C926, Commerce, Floor 9",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
American First Finance,"Plaza Suites - 1-527, #T-3, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
American Home Furnishings Alliance (AHFA),"1912 Eastchester Dr., Ste. 100",Shuttle Stop: 0 (Go Anywhere Shuttle),
American Leather,"Showplace - 5000, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
American Loft & Lounge/H & H Furn. Mfgs Inc,113 E. Green Dr.,Shuttle Stop: 13 (Green Line),Neighborhood: Downtown Main
American Rug Craftsmen,"IHFC - D443, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
American Silk Mills,"Resource Center - 329 S. Wrenn St., Floor 4",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
American Woodcrafters,"Market On Main - 233 S. Main St., Floor 2",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Ameriwood Industries/Dorel Industries,"Commerce & Design - 8N, 9A, Floor 8",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Amisco Industries Ltd.,"IHFC - D541, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Amity Home,"Suites At Market Square - M-6020, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"AMPTAB, Inc.","Radio Building - Penthouse, Floor 8",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
"Amrah Home by Horizon Interseas, Inc.","Commerce & Design - 4P, Floor 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Ana Global / Kinwai USA,"220 Elm - 322, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Anatolian Rugs,"Suites At Market Square - M-1025, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Angel Collection,"Suites At Market Square - M-8014, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Ann Gish,"IHFC - IH112, IH114, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ann Gish for Global Views,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Anna Elisabeth,1116 Foust Ave.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Annie Selke Company,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Antiochia,"Suites At Market Square - M-7011, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Antique & Design Center,"Market Square - G 1-72 Antique and Design Center and  SAMS G-8009, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Antique Curiosities,"Suites At Market Square - M-4012, M-4007, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
AntlerWorx,"Suites At Market Square - G-2033A, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Antonia,116 S. Lindsay St. ,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
Anywhere Fireplace,"Suites At Market Square - G-5024, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
APlus International/API Furniture,"Centers of High Point: Hamilton - 137, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Appaloosa Cowhides,"Suites At Market Square - M-4029, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Arason Enterprises, Inc.","Plaza Suites - 1-533, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Archaic,"Chelsea On Green - C100, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Archaic,"Market Square - G-28, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Archbold Furniture Company,"Radio Building, Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Architectural Anarchy,"Market Square - G-61, G-66, G-68A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Architectural Anarchy,"Chelsea On Green - A100/ A101, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Arete Collection,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Aria Designs,"Market On Green - 301, Floor 3",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Armen Living,"IHFC - H521, Hamilton, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Arnitex, LLC","Suites At Market Square - M-6048, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Art & Frame Mart,"Showplace - 3650, Floor 3",Shuttle Stop: 15 (Red Line),Neighborhood: Commerce Concourse
Art & Frame Mart,"IHFC - D411, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Art & Frame Source, Inc.","IHFC - H321, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Art Addiction,118 W. Russell Ave.,Shuttle Stop: 8 (Green Line),Neighborhood: Russell & Green
Art and Antique Hunter,"Market Square - G-63, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Art and Antiques by D Bell,"Chelsea On Green - A304, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Art as Antiques,"Showplace - 2221, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Art Carpet & Home,"Showplace - 3605, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Art Classics, Ltd.","IHFC - D430, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Art Floral Trading,"Suites At Market Square - M-4033, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Art Resources,"Market Square - 278, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Art Trends/Prestige Arts,"IHFC - C457, H429, Commerce, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Arteriors,"Commerce & Design - 1A, 1B, 1G, Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Artesia,206 E. Martin Luther King Jr. Dr.,Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Arther Galerias,"Suites At Market Square - G-6055, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Artisan & Post by Vaughan-Bassett,"IHFC - C1000, Commerce, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Artistic Leathers,"Hamilton Place - 121 N. Hamilton St., 103, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Artistica Home,"200 N. Hamilton St. - N Ct 221, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Artists Guild of America,"IHFC - H435, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Artitalia Group LLC,"200 Steele - 110, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
"Artmax, Inc.","IHFC - D420, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ashcroft and Moore,"Market Square - G-5, G-6, G-40, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Ashcroft and Moore,"Chelsea On Green - A300/ A400, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Ashley Childers for Global Views,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Ashley Furniture Industries, Inc.","IHFC - H900, Hamilton, Floor 9",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ashore Chandeliers,"Suites At Market Square - G-2033, G-Lobby, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Asia Minor Carpets Inc,1014 Mill Ave. ,Shuttle Stop: 0 (Go Anywhere Shuttle),
Asiades Hong Kong Ltd,"Suites At Market Square - G-8000, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Asian Loft USA,"Suites At Market Square - M-3033, M-7059, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Asian Loft USA,"Market Square - 190, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
ASM,"Suites At Market Square - M-2041, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
aspenhome,"IHFC - C1158, Commerce, Floor 11",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Assouline,"Suites At Market Square - G-6000B, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Atelier Home,Profit Center - 156 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Atrium on Main,"Atrium on Main - 430 S. Main St., Floor 4",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Aubrey Malcolm Collection,"Market Square - G-15, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Auskin USA Inc.,"IHFC - H417, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Austin Group Furniture,208 E. Green Dr.,Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Authentic Models,"IHFC - IH506, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Avala International, Inc.","IHFC - W247, Wrenn, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Avalon Furniture,"Atrium on Main - Suite 100, T100-T119, Floor 1",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
"Avanti/By Avanti, LLC","Suites At Market Square - M-6021, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Avasa Home,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Avenue North by Sylvester Alexander,430 N. Wrenn St.,Shuttle Stop: 23 (Red Line),Neighborhood: Hamilton Wrenn
AVForms,"IHFC - D536, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Aviva Stanoff by Studio A Home,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Aviva Stanoff Design,"IHFC - IH606, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ayala,"Suites At Market Square - M-6007, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Aydin Tekstil Ticaret Ve Pazarlama A. S.,"Market Square Tower - 411, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Azzurro Living,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
B Kelley Antiques,"Market Square - G-16A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
B.S. Trading Rug,"Showplace - 4300, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Baker Furniture,319 N. Hamilton St.,Shuttle Stop: 19 (Red Line),Neighborhood: Hamilton Wrenn
Balta Rugs,"IHFC - D401, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Balta Rugs,"Showplace - 3450, Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Commerce Concourse
Banyan Design,"Suites At Market Square - M-4000, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Barbara Barry for Global Views,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Barbarossa Leather,"Market Square Tower - 330, Floor 3",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Barcalounger,"IHFC - C1025, Commerce, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Barclay Butera,"1300 National Highway, Thomasville, NC 27360",Shuttle Stop: 0 (Go Anywhere Shuttle),
Bardi USA,317 N. Main St.,Shuttle Stop: 26 (Red Line),Neighborhood: Downtown Main
Barloga Studios,"Suites At Market Square - G-1049, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Barlow Tyrie, Inc","Market Square - 191, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Barnes Custom Upholstery,410 N. Wrenn St.,Shuttle Stop: 23 (Red Line),Neighborhood: Hamilton Wrenn
Barrow/Merrimac Textile,"Market Square Tower - 964, Floor 9",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Bassett Furniture Industries,"IHFC - C1200, Commerce, Floor 12",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bassett Furniture Upholstery,"IHFC - C1200, Commerce, Floor 12",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Bassett Mirror Company, Inc.","IHFC - G170, Green, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bauhaus Furniture,"Atrium on Main - 200, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
BDI,"IHFC - D536, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Beacon Custom Lighting,1547 W. English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Beautiful Gems Custom Jewelry Designs,"Suites At Market Square - M-6038, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
BeBe & Lenox,"Suites At Market Square - G-7008, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Beco Inc.,"IHFC - M011, Main, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Bedding Industries of America,"Crown Mark Plaza - 200 E. Green Dr., Floor 4",Shuttle Stop: 3 (Green Line),Neighborhood: Centennial Wrenn South
Bedford Collections,"IHFC - H235, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
bedgear Performance Bedding,"Plaza Suites - 1-601, 1-500, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
BedTech,"Profit Center - 156 S. Main St., Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Begin Home Decor Inc.,"Suites At Market Square - M-7058, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Behold Home,"Centers of High Point: Hamilton - 030, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Bella Home Furnishings,"312 S. Hamilton St. - 1st Fl, Ste. 102",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Belle Maison Textiles Inc.,"Market Square Tower - 630, Floor 6",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Belle Meade Signature,"Hamilton Place - 117 N. Hamilton St., 203, Floor 2",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Bellini Modern Living,"IHFC - H520, Hamilton, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bellona USA,314 S. Main St.,Shuttle Stop: 4 (Green Line),Neighborhood: Downtown Main
Benchmark Upholstery Inc.,"Atrium on Main - T-100, Terrace",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Benchmaster Furniture,"Furniture Plaza - 303, Floor 3",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Benix,"220 Elm - 204, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
BENNETT To The Trade,"Market Square Tower - 113, 114, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Benson-Cobb,"Suites At Market Square - G-7025A, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Berloni Kitchens,"The Sherrod - 1100 N. Main St., Main Floor",Shuttle Stop: 0 (Go Anywhere Shuttle),
Bermex,212 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
Bernards Furniture Group,"Atrium on Main - 201, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Bernhardt Furniture,"IHFC - IH404, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bernhardt Furniture Company,"IHFC - D601, Design Center, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bertu Home,"IHFC - IH201, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bespoke Art Studios,"Suites At Market Square - M-8018, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Best Home Furnishings,239 S. Main St.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Beth Poindexter Luxe,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
Bethel International,"Commerce & Design - 4C, Floor 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Beyond Borders Imports,Profit Center - 156 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
beyondSMART powered by eMoMo,"IHFC - M736, Main, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
BFG - Brazil Furniture Group,"243 S. Main St., 2nd Fl",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
BG Industries,"Suites At Market Square - G-4035, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
BIDK Home,"Suites At Market Square - G-5000, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Bittersweet Designs,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bivona & Company,"Atrium on Main - 206, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Black Crow Studios,"310 N. Hamilton St. - S-204 , Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
